DateTime,Title_Text
2022-05-16,"방탄소년단, '빌보드 뮤직 어워즈' 3관왕…하이브 3%대↑ 컴투스플랫폼, ‘태초의 신은 고양이였다’에 ‘하이브’ 적용"
2022-05-19,"‘서울대입구역 더 하이브 센트럴’ 무순위 청약 3가구에 2천 명 넘게 몰려 [기업] 한화그룹, 태양광 벌집 '솔라 비 하이브' 공개"
2022-05-20,‘학폭논란’ 르세라핌 활동 제동…“하이브 주가 20만원도 불안” 주주들 원성 하이브 입열었다...르세라핌 김가람 학폭 적극 해명
2022-05-24,"""김가람 뺀 르세라핌 지지해 삐쳤음?""…하이브 닥친 진짜 문제"
2022-05-27,"[특징주] BTS 백악관 초청에 하이브 5% 강세 [특징주]백악관 가는 BTS에…하이브 5% 강세 [특징주] 바이든 만나는 BTS…하이브 급등 [특징주]백악관서 바이든 만나는 방탄소년단(BTS)…하이브 5% 강세 [한경라씨로] BTS 백악관 초청 소식에 하이브 주가 '상승' 백악관 초청 받은 BTS…하이브 주가 강세 [특징주] 하이브, BTS 백악관 방문 기대에 5%대 ↑ [특징주] “BTS, 백악관에서 바이든 만난다”…하이브 주가 강세 靑, 유엔 이어 '백악관'까지 뜨는 BTS…하이브는 어디까지 급등? [핫스탁]하이브·플레이위드·이글벳 [특징주] BTS, 백악관서 美 바이든 대통령과 환담… 하이브 '강세' 바이든·BTS, 백악관서 만난다…소속사 하이브 강세 [증시이슈] [핫스탁]하이브·플레이위드·이글벳(종합) 코스피 0.98% 상승…BTS 백악관 초청에 하이브 주가↑[오늘의 증시경향]"
2022-05-28,"방탄소년단, 美 바이든 초청에 백악관行… 하이브 주가 '쑥'"
2022-05-30,엔터주 오른다는데… JYP는 오르고 하이브가 떨어진 이유는?
2022-05-31,"다올인베·하이브 등 40개 상장사 3억425만주, 6월 의무보유등록 해제 예탁원, 6월 다올인베 8천만주·하이브 86만주 등 의무보유등록 해제 하이브 등 40개사 의무보유등록 해제"
2022-06-01,"6월 하이브·에디슨EV 등 40개사 3억425만주 '의무보유' 풀린다 롯데가 BTS 키운 하이브와 같은 고민하는 이유 SM출신이 만든 하이브 여돌, 남미 겨냥한 CJ 보이그룹…몰려오는 대기업 ‘신인 아이돌’"
2022-06-02,"하이브, 세븐틴 글로벌 투어 발표…BTS 투어가 매출 상당 부분 결정할 듯-유안타 BTS 입대하나요?…하이브 주가 두달 만에 32%↓"
2022-06-05,"윤곽 드러난 하이브 첫 ‘일본 아이돌’, BTS 만든 피독 멘토로 참여"
2022-06-07,"BTS 9년, 48곡에 담았다…신곡 '옛 투 컴' 하이브 주가 올릴까"
2022-06-08,"BTS, 靑→유엔→백악관→군대?…하이브 주가 반토막 난 이유 한남동 포켓몬 성지는 어디?… 위드 하이브 시티 누적 방문객 7만명 배스킨라빈스 '포켓몬 위드 하이브시티' 방문객 7만돌파"
2022-06-10,"국민연금, 새내기株 팔았다…SK스퀘어·하이브 '손절' 국민연금, SK스퀘어·하이브 줄줄이 '손절'...고점 대비 40% 이상 하락에도 '매도' BTS 완전체, 내년부터 못본다? 컴백에도 하이브 주가 하락"
2022-06-13,"""성장주의 몰락""…하이브 10% '뚝', 52주 신저가 경신 BTS 컴백 첫날 ‘더블 밀리언셀러’... 하이브, 2분기 기대감 '하이브 투자 대박' LB인베, 상장 추진"
